"Feature Name"|"ID"|"Class"|"County"|"State"|"Latitude"|"Longitude"|"Ele(ft)"|"Map"|"BGN Date"|"Entry Date"|
"Alford Police Department"|"2754860"|"Building"|"Berkshire"|"MA"|"421410N"|"0732452W"|"860"|"Egremont"|""|"27-JUN-2014"
"Alford Post Office (historical)"|"1974978"|"Post Office"|"Berkshire"|"MA"|"Unknown"|"Unknown"|""|"Pittsfield East"|""|"15-JAN-2003"
"Alford Town Hall"|"1978611"|"Building"|"Berkshire"|"MA"|"421410N"|"0732452W"|"853"|"Egremont"|""|"16-JAN-2003"
"Algerie Four Corners"|"608004"|"Populated Place"|"Berkshire"|"MA"|"421307N"|"0730150W"|"1549"|"Otis"|""|"24-FEB-1974"
"Allen Mountain"|"608005"|"Summit"|"Berkshire"|"MA"|"420853N"|"0730713W"|"1686"|"Otis"|""|"24-FEB-1974"
"Allendale Elementary School"|"618129"|"School"|"Berkshire"|"MA"|"422732N"|"0731313W"|"1014"|"Pittsfield East"|""|"27-AUG-2002"
"Allendale Post Office"|"1978612"|"Post Office"|"Berkshire"|"MA"|"Unknown"|"Unknown"|""|"Pittsfield East"|""|"16-JAN-2003"
"Allendale Shopping Center"|"603539"|"Locale"|"Berkshire"|"MA"|"422802N"|"0731208W"|"997"|"Pittsfield East"|""|"27-AUG-2002"
"Alum Hill"|"607269"|"Summit"|"Berkshire"|"MA"|"420454N"|"0731840W"|"1076"|"Ashley Falls"|"01-JAN-1897"|"24-FEB-1974"
"American Legion Park"|"604012"|"Park"|"Berkshire"|"MA"|"422844N"|"0730901W"|"1138"|"Pittsfield East"|""|"27-AUG-2002"
"Angerman Swamp"|"607271"|"Swamp"|"Berkshire"|"MA"|"421430N"|"0730910W"|"1706"|"Monterey"|""|"24-FEB-1974"
"Anthony Brook"|"617959"|"Stream"|"Berkshire"|"MA"|"422845N"|"0730908W"|"1142"|"Cheshire"|""|"24-FEB-1974"
"Anthony Pond"|"607272"|"Lake"|"Berkshire"|"MA"|"423032N"|"0730934W"|"1827"|"Cheshire"|""|"24-FEB-1974"
"Appalachian National Scenic Trail"|"2766084"|"Park"|"Yancey"|"NC"|"355903N"|"0822829W"|"4049"|"Bald Creek"|""|"08-MAR-2015"
"Appletree Hill"|"607273"|"Summit"|"Berkshire"|"MA"|"423426N"|"0731850W"|"1772"|"Hancock"|""|"24-FEB-1974"
"Arnoldville"|"607274"|"Populated Place"|"Berkshire"|"MA"|"423517N"|"0730801W"|"1165"|"Cheshire"|""|"27-AUG-2002"
"Arrowhead"|"1978614"|"Building"|"Berkshire"|"MA"|"422459N"|"0731453W"|"1047"|"Pittsfield East"|""|"16-JAN-2003"
"Artist Center and Gallery"|"1978615"|"Building"|"Berkshire"|"MA"|"424212N"|"0730525W"|"879"|"North Adams"|""|"16-JAN-2003"
"Ashley Brook"|"607275"|"Stream"|"Berkshire"|"MA"|"422531N"|"0731224W"|"1017"|"Pittsfield East"|""|"24-FEB-1974"
"Ashley Falls"|"607276"|"Populated Place"|"Berkshire"|"MA"|"420322N"|"0732006W"|"679"|"Ashley Falls"|""|"24-FEB-1974"
"Ashley Falls Post Office"|"1978616"|"Post Office"|"Berkshire"|"MA"|"420323N"|"0732008W"|"682"|"Ashley Falls"|""|"16-JAN-2003"
"Ashley Hill Brook"|"607277"|"Stream"|"Berkshire"|"MA"|"420548N"|"0732850W"|"1276"|"Bash Bish Falls"|""|"24-FEB-1974"
"Ashley Lake"|"607278"|"Reservoir"|"Berkshire"|"MA"|"422251N"|"0730941W"|"1926"|"Pittsfield East"|""|"24-FEB-1974"
"Ashley Reservoir"|"607280"|"Reservoir"|"Berkshire"|"MA"|"422443N"|"0731139W"|"1283"|"Pittsfield East"|""|"24-FEB-1974"
"Ashmere Lake"|"607849"|"Reservoir"|"Berkshire"|"MA"|"422624N"|"0730453W"|"1581"|"Peru"|""|"24-FEB-1974"
"Ashmere Lake Dam"|"605392"|"Dam"|"Berkshire"|"MA"|"422612N"|"0730458W"|"1581"|"Peru"|""|"27-AUG-2002"
"Ashuelot Cemetery"|"1847469"|"Cemetery"|"Berkshire"|"MA"|"422834N"|"0731057W"|"1161"|"Pittsfield East"|""|"13-JUL-1999"
"Atwater Pond"|"607281"|"Reservoir"|"Berkshire"|"MA"|"420631N"|"0730915W"|"1545"|"South Sandisfield"|""|"24-FEB-1974"
"Atwater Pond Dam"|"604848"|"Dam"|"Berkshire"|"MA"|"420630N"|"0730904W"|"1542"|"South Sandisfield"|""|"27-AUG-2002"
"Austen Fox Riggs Library"|"2341926"|"Building"|"Berkshire"|"MA"|"421659N"|"0731847W"|"843"|"Stockbridge"|""|"23-AUG-2007"
"Austen Riggs Center"|"1978617"|"Hospital"|"Berkshire"|"MA"|"421701N"|"0731851W"|"846"|"Stockbridge"|""|"16-JAN-2003"
"Austin Brook"|"608267"|"Stream"|"Berkshire"|"MA"|"421643N"|"0725921W"|"663"|"Chester"|""|"24-FEB-1974"
"Avalon School"|"618083"|"School"|"Berkshire"|"MA"|"421050N"|"0731502W"|"1211"|"Great Barrington"|""|"27-AUG-2002"
"Azimuth Brook"|"618520"|"Stream"|"Berkshire"|"MA"|"424107N"|"0730618W"|"702"|"North Adams"|"01-JAN-1995"|"01-MAY-1995"
"Bacons Farm"|"1978618"|"Locale"|"Berkshire"|"MA"|"423919N"|"0731217W"|"1109"|"Williamstown"|""|"16-JAN-2003"
"Baker Brook"|"607534"|"Stream"|"Berkshire"|"MA"|"423706N"|"0730016W"|"1522"|"Windsor"|""|"24-FEB-1974"
"Bakke Mountain"|"1891224"|"Summit"|"Berkshire"|"MA"|"424411N"|"0730157W"|"2572"|"North Adams"|"01-JAN-2001"|"27-AUG-2002"
"Balance Rock State Park"|"598691"|"Park"|"Berkshire"|"MA"|"423030N"|"0731628W"|"1247"|"Hancock"|""|"27-AUG-2002"
"Bald Mountain"|"617542"|"Summit"|"Berkshire"|"MA"|"424347N"|"0730748W"|"2205"|"Williamstown"|""|"24-FEB-1974"
"Bald Top"|"607284"|"Summit"|"Berkshire"|"MA"|"422010N"|"0730943W"|"2034"|"East Lee"|""|"24-FEB-1974"
"Baldhead"|"607283"|"Summit"|"Berkshire"|"MA"|"422137N"|"0731855W"|"1660"|"Stockbridge"|""|"24-FEB-1974"
"Baldwin Brook"|"607285"|"Stream"|"Berkshire"|"MA"|"422037N"|"0732353W"|"902"|"State Line"|""|"24-FEB-1974"
"Baldwin Hill"|"607286"|"Summit"|"Berkshire"|"MA"|"421108N"|"0732613W"|"997"|"Egremont"|""|"24-FEB-1974"
"Baldy Mountain"|"607287"|"Summit"|"Berkshire"|"MA"|"421505N"|"0731048W"|"1867"|"East Lee"|""|"24-FEB-1974"
"Balence Rock Post Office (historical)"|"1974979"|"Post Office"|"Berkshire"|"MA"|"Unknown"|"Unknown"|""|"Pittsfield East"|""|"15-JAN-2003"
"Barbieri Dam"|"605099"|"Dam"|"Berkshire"|"MA"|"421212N"|"0731904W"|"866"|"Great Barrington"|""|"27-AUG-2002"
"Barbieri Reservoir"|"605098"|"Reservoir"|"Berkshire"|"MA"|"421208N"|"0731855W"|"879"|"Great Barrington"|""|"27-AUG-2002"
"Barkerville"|"607288"|"Populated Place"|"Berkshire"|"MA"|"422521N"|"0731831W"|"1112"|"Pittsfield West"|""|"24-FEB-1974"
"Barnard Cemetery"|"1978619"|"Cemetery"|"Berkshire"|"MA"|"420506N"|"0732118W"|"676"|"Ashley Falls"|""|"16-JAN-2003"
"Barnum Street Swamp"|"607289"|"Swamp"|"Berkshire"|"MA"|"420539N"|"0732212W"|"679"|"Ashley Falls"|""|"24-FEB-1974"
"Barret Hill"|"607290"|"Summit"|"Berkshire"|"MA"|"422712N"|"0730359W"|"1873"|"Peru"|""|"24-FEB-1974"
"Barrett Hill"|"607850"|"Summit"|"Berkshire"|"MA"|"422806N"|"0730712W"|"1693"|"Peru"|""|"24-FEB-1974"
"Barrington Plaza Shopping Center"|"1978620"|"Locale"|"Berkshire"|"MA"|"421237N"|"0732034W"|"699"|"Great Barrington"|""|"16-JAN-2003"
"Barry Hill"|"607291"|"Summit"|"Berkshire"|"MA"|"420300N"|"0730958W"|"1650"|"South Sandisfield"|""|"24-FEB-1974"
"Bartholomews Cobble"|"605998"|"Park"|"Berkshire"|"MA"|"420258N"|"0732042W"|"699"|"Ashley Falls"|""|"27-AUG-2002"
"Bartlett's Orchard"|"2582247"|"Locale"|"Berkshire"|"MA"|"422406N"|"0731909W"|"1237"|"Pittsfield West"|""|"15-MAR-2010"
"Barton Brook"|"607292"|"Stream"|"Berkshire"|"MA"|"422744N"|"0731201W"|"984"|"Pittsfield East"|""|"24-FEB-1974"
"Bas-Ridge Country Club"|"1978621"|"Locale"|"Berkshire"|"MA"|"422633N"|"0730720W"|"1516"|"Peru"|""|"16-JAN-2003"
"Bascom Lodge"|"1978622"|"Building"|"Berkshire"|"MA"|"423814N"|"0731001W"|"3468"|"Williamstown"|""|"16-JAN-2003"
"Bash Bish Brook"|"979666"|"Stream"|"Columbia"|"NY"|"420415N"|"0733351W"|"492"|"Copake"|"01-JAN-1983"|"23-JAN-1980"
"Bash Bish Falls"|"607293"|"Falls"|"Berkshire"|"MA"|"420653N"|"0732934W"|"1089"|"Bash Bish Falls"|"01-JAN-1983"|"24-FEB-1974"
"Bash Bish Mountain"|"607294"|"Summit"|"Berkshire"|"MA"|"420635N"|"0732930W"|"1516"|"Bash Bish Falls"|"01-JAN-1983"|"24-FEB-1974"
"Bashbish Falls State Forest (historical)"|"606692"|"Forest"|"Berkshire"|"MA"|"420645N"|"0732928W"|"1138"|"Bash Bish Falls"|""|"27-AUG-2002"
"Basin Pond"|"607295"|"Lake"|"Berkshire"|"MA"|"421808N"|"0730959W"|"1532"|"East Lee"|""|"24-FEB-1974"
"Basin Pond Brook"|"607296"|"Stream"|"Berkshire"|"MA"|"421758N"|"0731203W"|"1165"|"East Lee"|""|"24-FEB-1974"
"Bassett Brook"|"607297"|"Stream"|"Berkshire"|"MA"|"423537N"|"0730828W"|"951"|"Cheshire"|""|"24-FEB-1974"
"Bassett Reservoir"|"617960"|"Reservoir"|"Berkshire"|"MA"|"423545N"|"0730846W"|"1050"|"Cheshire"|""|"24-FEB-1974"
"Bassett Reservoir Dam"|"605680"|"Dam"|"Berkshire"|"MA"|"423542N"|"0730846W"|"1073"|"Cheshire"|""|"27-AUG-2002"
"Bates Memorial State Park"|"598656"|"Park"|"Berkshire"|"MA"|"422545N"|"0732158W"|"1575"|"Pittsfield West"|""|"27-AUG-2002"
"Battlesite Monument"|"604071"|"Park"|"Berkshire"|"MA"|"420852N"|"0732309W"|"682"|"Egremont"|""|"27-AUG-2002"
"Beachwood"|"617902"|"Populated Place"|"Berkshire"|"MA"|"421930N"|"0731913W"|"938"|"Stockbridge"|""|"24-FEB-1974"
"Bear Rock Falls"|"607298"|"Falls"|"Berkshire"|"MA"|"420346N"|"0732614W"|"1631"|"Bash Bish Falls"|""|"24-FEB-1974"
"Bear Rock Stream"|"607299"|"Stream"|"Berkshire"|"MA"|"420324N"|"0732443W"|"679"|"Bash Bish Falls"|""|"24-FEB-1974"
"Bear Swamp"|"607301"|"Swamp"|"Berkshire"|"MA"|"421455N"|"0731521W"|"1713"|"Great Barrington"|""|"24-FEB-1974"
"Bear Swamp"|"607535"|"Swamp"|"Berkshire"|"MA"|"424415N"|"0730913W"|"2162"|"Williamstown"|""|"24-FEB-1974"
"Bear Swamp Brook"|"607536"|"Stream"|"Berkshire"|"MA"|"424432N"|"0730659W"|"1565"|"North Adams"|""|"24-FEB-1974"
"Bears Den"|"607300"|"Summit"|"Berkshire"|"MA"|"420653N"|"0732205W"|"784"|"Ashley Falls"|""|"24-FEB-1974"
"Beartown Brook"|"607302"|"Stream"|"Berkshire"|"MA"|"421626N"|"0731605W"|"840"|"Stockbridge"|""|"24-FEB-1974"
"Beartown Mountain"|"617278"|"Summit"|"Berkshire"|"MA"|"421600N"|"0731528W"|"1204"|"Stockbridge"|"01-JAN-1911"|"24-FEB-1974"
"Beartown State Forest"|"598655"|"Forest"|"Berkshire"|"MA"|"421400N"|"0731628W"|"1719"|"Great Barrington"|""|"27-AUG-2002"
"Beaver Creek"|"607537"|"Stream"|"Berkshire"|"MA"|"424408N"|"0730454W"|"1073"|"North Adams"|""|"24-FEB-1974"
"Beaver Mill (historical)"|"1978623"|"Locale"|"Berkshire"|"MA"|"Unknown"|"Unknown"|""|"Pittsfield East"|""|"16-JAN-2003"
"Becker Pond"|"607304"|"Lake"|"Berkshire"|"MA"|"420332N"|"0732734W"|"1621"|"Bash Bish Falls"|""|"24-FEB-1974"
"Becket"|"608008"|"Populated Place"|"Berkshire"|"MA"|"421955N"|"0730458W"|"1204"|"Becket"|"01-JAN-1897"|"24-FEB-1974"
"Becket Arts Center"|"606005"|"Building"|"Berkshire"|"MA"|"421951N"|"0730503W"|"1227"|"Becket"|""|"27-AUG-2002"
"Becket Athenaeum"|"1978624"|"Building"|"Berkshire"|"MA"|"421952N"|"0730502W"|"1224"|"Becket"|""|"16-JAN-2003"
"Becket Center"|"608010"|"Populated Place"|"Berkshire"|"MA"|"421700N"|"0730348W"|"1568"|"Becket"|""|"24-FEB-1974"
"Becket Center Historic District"|"1978625"|"Park"|"Berkshire"|"MA"|"421705N"|"0730415W"|"1604"|"Becket"|""|"16-JAN-2003"
"Becket Center Post Office (historical)"|"1974980"|"Post Office"|"Berkshire"|"MA"|"Unknown"|"Unknown"|""|"Pittsfield East"|""|"15-JAN-2003"
"Becket Consolidated School"|"1978626"|"School"|"Berkshire"|"MA"|"421953N"|"0730458W"|"1214"|"Becket"|""|"16-JAN-2003"
"Becket Fire Department Station 1"|"2659387"|"Building"|"Berkshire"|"MA"|"422001N"|"0730511W"|"1220"|"Becket"|""|"17-JAN-2011"
"Becket Fire Department Station 2"|"2659729"|"Building"|"Berkshire"|"MA"|"421548N"|"0730416W"|"1617"|"Becket"|""|"17-JAN-2011"
"Becket Mountain"|"607305"|"Summit"|"Berkshire"|"MA"|"421807N"|"0730845W"|"2178"|"East Lee"|""|"24-FEB-1974"
"Becket Police Department"|"2754942"|"Building"|"Berkshire"|"MA"|"421637N"|"0730330W"|"1512"|"Becket"|""|"27-JUN-2014"
"Becket Post Office"|"1978627"|"Post Office"|"Berkshire"|"MA"|"421644N"|"0730337W"|"1512"|"Becket"|""|"16-JAN-2003"
"Becket State Forest"|"598730"|"Forest"|"Berkshire"|"MA"|"421600N"|"0730143W"|"1260"|"Becket"|""|"27-AUG-2002"
"Becket Town Hall"|"1978628"|"Building"|"Berkshire"|"MA"|"422001N"|"0730512W"|"1217"|"Becket"|""|"16-JAN-2003"
"Bee Hill"|"607306"|"Summit"|"Berkshire"|"MA"|"424212N"|"0731407W"|"1430"|"Williamstown"|""|"24-FEB-1974"
"Beech Plain Cemetery"|"598728"|"Cemetery"|"Berkshire"|"MA"|"421015N"|"0730546W"|"1493"|"Otis"|""|"27-AUG-2002"
"Beechwood Estates"|"1978629"|"Populated Place"|"Berkshire"|"MA"|"422832N"|"0730640W"|"1447"|"Peru"|""|"16-JAN-2003"
"Bel Air Dam"|"605455"|"Dam"|"Berkshire"|"MA"|"422818N"|"0731452W"|"1033"|"Pittsfield East"|""|"27-AUG-2002"
"Belcher Square"|"598523"|"Populated Place"|"Berkshire"|"MA"|"421200N"|"0732048W"|"715"|"Great Barrington"|""|"24-FEB-1974"
"Belden Hill"|"608011"|"Summit"|"Berkshire"|"MA"|"420930N"|"0730533W"|"1627"|"Otis"|""|"24-FEB-1974"
